TCS,name,lat,lon,PHASE,PHASE_STATUS,PHASE_STATUS_TEXT
137,MOUNT PLEASANT RD & DAVISVILLE AVE,43.70031199633542,-79.3869729976405,6,10.0,End Yellow Clearance
137,MOUNT PLEASANT RD & DAVISVILLE AVE,43.70031199633542,-79.3869729976405,9,10.0,End Yellow Clearance
442,O CONNOR DR & PAPE AVE,43.69324099560233,-79.35029099707103,1,10.0,End Yellow Clearance
26,ADELAIDE ST E & VICTORIA ST,43.65066899637987,-79.37724499665399,5,8.0,Green Termination
26,ADELAIDE ST E & VICTORIA ST,43.65066899637987,-79.37724499665399,5,9.0,Begin Yellow Clearance
26,ADELAIDE ST E & VICTORIA ST,43.65066899637987,-79.37724499665399,5,9.0,Begin Yellow Clearance
273,SPADINA AVE & KING ST W,43.64547000300134,-79.39504599634373,1,8.0,Green Termination
273,SPADINA AVE & KING ST W,43.64547000300134,-79.39504599634373,1,9.0,Begin Yellow Clearance
273,SPADINA AVE & KING ST W,43.64547000300134,-79.39504599634373,5,8.0,Green Termination
273,SPADINA AVE & KING ST W,43.64547000300134,-79.39504599634373,5,9.0,Begin Yellow Clearance
933,JANE ST & YORKWOODS GT,43.75073599788694,-79.51607799696686,4,10.0,End Yellow Clearance
933,JANE ST & YORKWOODS GT,43.75073599788694,-79.51607799696686,8,10.0,End Yellow Clearance
243,LAKE SHORE BLVD W & BROW DR,43.59168599667902,-79.54382100472654,4,2.0,Begin Green
243,LAKE SHORE BLVD W & BROW DR,43.59168599667902,-79.54382100472654,8,2.0,Begin Green
764,KIPLING AVE & HORNER AVE,43.607200996779675,-79.52075099763171,4,10.0,End Yellow Clearance
764,KIPLING AVE & HORNER AVE,43.607200996779675,-79.52075099763171,8,10.0,End Yellow Clearance
683,MILLWOOD RD & MCRAE DR,43.704783996724245,-79.36812900487519,4,10.0,End Yellow Clearance
683,MILLWOOD RD & MCRAE DR,43.704783996724245,-79.36812900487519,4,10.0,End Yellow Clearance
683,MILLWOOD RD & MCRAE DR,43.704783996724245,-79.36812900487519,8,10.0,End Yellow Clearance
683,MILLWOOD RD & MCRAE DR,43.704783996724245,-79.36812900487519,8,10.0,End Yellow Clearance
684,MILLWOOD RD & SUTHERLAND DR,43.70357399903214,-79.36438899562827,4,10.0,End Yellow Clearance
684,MILLWOOD RD & SUTHERLAND DR,43.70357399903214,-79.36438899562827,8,10.0,End Yellow Clearance
517,VICTORIA PARK AVE & ELLESMERE RD,43.75786899998372,-79.31524500097107,2,2.0,Begin Green
517,VICTORIA PARK AVE & ELLESMERE RD,43.75786899998372,-79.31524500097107,2,2.0,Begin Green
624,DON MILLS RD & THE DONWAY E,43.74084300068914,-79.34445700069907,2,2.0,Begin Green
624,DON MILLS RD & THE DONWAY E,43.74084300068914,-79.34445700069907,2,2.0,Begin Green
624,DON MILLS RD & THE DONWAY E,43.74084300068914,-79.34445700069907,6,2.0,Begin Green
624,DON MILLS RD & THE DONWAY E,43.74084300068914,-79.34445700069907,6,2.0,Begin Green
401,LAWRENCE AVE E & THE DONWAY W,43.736507002179536,-79.34654599399197,2,2.0,Begin Green
401,LAWRENCE AVE E & THE DONWAY W,43.736507002179536,-79.34654599399197,6,2.0,Begin Green
401,LAWRENCE AVE E & THE DONWAY W,43.736507002179536,-79.34654599399197,8,9.0,Begin Yellow Clearance
911,THE QUEENSWAY & THE EAST MALL,43.61641900429032,-79.54628700423605,2,10.0,End Yellow Clearance
911,THE QUEENSWAY & THE EAST MALL,43.61641900429032,-79.54628700423605,6,10.0,End Yellow Clearance
237,LAKE SHORE BLVD W & KIPLING AVE,43.5981979995018,-79.51694999863516,4,2.0,Begin Green
237,LAKE SHORE BLVD W & KIPLING AVE,43.5981979995018,-79.51694999863516,4,2.0,Begin Green
432,LAWRENCE AVE W & SCARLETT RD,43.69817499613181,-79.52329399421724,2,10.0,End Yellow Clearance
432,LAWRENCE AVE W & SCARLETT RD,43.69817499613181,-79.52329399421724,6,10.0,End Yellow Clearance
633,KEELE ST & GRANDRAVINE DR,43.75202299554907,-79.4881730042854,4,2.0,Begin Green
422,LAWRENCE AVE W & LEDBURY ST,43.72081999899488,-79.42247600156534,4,8.0,Green Termination
422,LAWRENCE AVE W & LEDBURY ST,43.72081999899488,-79.42247600156534,4,9.0,Begin Yellow Clearance
422,LAWRENCE AVE W & LEDBURY ST,43.72081999899488,-79.42247600156534,4,9.0,Begin Yellow Clearance
422,LAWRENCE AVE W & LEDBURY ST,43.72081999899488,-79.42247600156534,8,8.0,Green Termination
422,LAWRENCE AVE W & LEDBURY ST,43.72081999899488,-79.42247600156534,8,9.0,Begin Yellow Clearance
422,LAWRENCE AVE W & LEDBURY ST,43.72081999899488,-79.42247600156534,8,9.0,Begin Yellow Clearance
940,MCCOWAN RD & CONSILIUM PL,43.77958800235477,-79.2542180043278,4,8.0,Green Termination
940,MCCOWAN RD & CONSILIUM PL,43.77958800235477,-79.2542180043278,4,9.0,Begin Yellow Clearance
940,MCCOWAN RD & CONSILIUM PL,43.77958800235477,-79.2542180043278,8,8.0,Green Termination
940,MCCOWAN RD & CONSILIUM PL,43.77958800235477,-79.2542180043278,8,9.0,Begin Yellow Clearance
746,SHEPPARD AVE E & FAIRVIEW MALL DR,43.77621399697339,-79.34116899631732,5,10.0,End Yellow Clearance
747,SHEPPARD AVE E & 404 N SHEPPARD AVE RAMP,43.77583200375355,-79.3377519995262,5,10.0,End Yellow Clearance
580,WESTON RD & DENISON RD E,43.696237001104286,-79.50819899660706,4,2.0,Begin Green
580,WESTON RD & DENISON RD E,43.696237001104286,-79.50819899660706,8,2.0,Begin Green
957,MARKHAM RD & TUXEDO CRT,43.779544001000424,-79.23297899882184,1,10.0,End Yellow Clearance
957,MARKHAM RD & TUXEDO CRT,43.779544001000424,-79.23297899882184,1,10.0,End Yellow Clearance
953,DIXON RD & ATTWELL DR,43.687948000948246,-79.58682300507454,3,2.0,Begin Green
360,CLONMORE DR & HOLLIS AVE,43.692871001325074,-79.27303800031335,2,10.0,End Yellow Clearance
360,CLONMORE DR & HOLLIS AVE,43.692871001325074,-79.27303800031335,6,10.0,End Yellow Clearance
878,MARKHAM RD & PROGRESS AVE,43.78174599804576,-79.2338900025899,2,2.0,Begin Green
878,MARKHAM RD & PROGRESS AVE,43.78174599804576,-79.2338900025899,2,2.0,Begin Green
795,WESTON RD & GAYDON AVE,43.72037599634986,-79.53750099439836,4,2.0,Begin Green
795,WESTON RD & GAYDON AVE,43.72037599634986,-79.53750099439836,4,2.0,Begin Green
795,WESTON RD & GAYDON AVE,43.72037599634986,-79.53750099439836,8,2.0,Begin Green
795,WESTON RD & GAYDON AVE,43.72037599634986,-79.53750099439836,8,2.0,Begin Green
