TCS,PHASE,LAST_UPDATED,PHASE_STATUS,PHASE_PED_STATUS,PHASE_HOLD,PHASE_CALL,PHASE_OMIT,PHASE_PED_CALL,PHASE_PED_OMIT,PHASE_STATUS_TEXT,PHASE_PED_STATUS_TEXT,PHASE_CALL_TEXT
137,6,2024-06-20T13:13:59Z,10,2,,3,,,,End Yellow Clearance,Begin Clearance,Ped Registered
137,9,2024-06-20T13:13:59Z,10,2,,3,,,,End Yellow Clearance,Begin Clearance,Ped Registered
442,1,2024-06-20T13:13:59Z,10,,,2,,,,End Yellow Clearance,,Dropped
26,5,2024-06-20T13:13:59Z,8,,,2,,,,Green Termination,,Dropped
26,5,2024-06-20T13:13:59Z,9,,,2,,,,Begin Yellow Clearance,,Dropped
26,5,2024-06-20T13:13:59Z,9,,,1,,,,Begin Yellow Clearance,,Registered
273,1,2024-06-20T13:13:59Z,8,,,2,,,,Green Termination,,Dropped
273,1,2024-06-20T13:13:59Z,9,,,2,,,,Begin Yellow Clearance,,Dropped
273,5,2024-06-20T13:13:59Z,8,,,2,,,,Green Termination,,Dropped
273,5,2024-06-20T13:13:59Z,9,,,2,,,,Begin Yellow Clearance,,Dropped
933,4,2024-06-20T13:13:59Z,10,1,,1,,,,End Yellow Clearance,Begin Walk,Registered
933,8,2024-06-20T13:13:59Z,10,1,,1,,,,End Yellow Clearance,Begin Walk,Registered
243,4,2024-06-20T13:13:59Z,2,2,,1,,,,Begin Green,Begin Clearance,Registered
243,8,2024-06-20T13:13:59Z,2,2,,1,,,,Begin Green,Begin Clearance,Registered
764,4,2024-06-20T13:13:59Z,10,2,,3,,,,End Yellow Clearance,Begin Clearance,Ped Registered
764,8,2024-06-20T13:13:59Z,10,2,,3,,,,End Yellow Clearance,Begin Clearance,Ped Registered
683,4,2024-06-20T13:13:59Z,10,2,,1,,,,End Yellow Clearance,Begin Clearance,Registered
683,4,2024-06-20T13:13:59Z,10,2,,1,,,,End Yellow Clearance,Begin Clearance,Registered
